Yr,Var,Rep,Yield,Nit
3,A,1,9.34,80
3,A,2,10.41,80
3,A,3,10.28,80
3,A,4,9.35,80
3,B,1,10.23,80
3,B,2,9.82,80
3,B,3,9.75,80
3,B,4,9.81,80
3,C,1,9.22,80
3,C,2,9.5,80
3,C,3,9.31,80
3,C,4,8.77,80
4,A,1,9.64,80
4,A,2,9.12,80
4,A,3,8.02,80
4,A,4,8.16,80
4,B,1,11.21,80
4,B,2,10.26,80
4,B,3,12.48,80
4,B,4,11.4,80
4,C,1,10.28,80
4,C,2,10.3,80
4,C,3,11.53,80
4,C,4,10.57,80
5,A,1,9.87,80
5,A,2,9.01,80
5,A,3,9.08,80
5,A,4,9.14,80
5,B,1,10.77,80
5,B,2,11.29,80
5,B,3,10.67,80
5,B,4,12.8,80
5,C,1,10.07,80
5,C,2,10.92,80
5,C,3,11.04,80
5,C,4,11.02,80
3,A,1,9.6,160
3,A,2,9.82,160
3,A,3,10.43,160
3,A,4,10.08,160
3,B,1,10,160
3,B,2,10.05,160
3,B,3,9.66,160
3,B,4,8.94,160
3,C,1,7.92,160
3,C,2,8.21,160
3,C,3,8.97,160
3,C,4,8.17,160
4,A,1,10.11,160
4,A,2,11.2,160
4,A,3,11.21,160
4,A,4,11.15,160
4,B,1,12.81,160
4,B,2,11.71,160
4,B,3,11.82,160
4,B,4,12.12,160
4,C,1,12.16,160
4,C,2,11.98,160
4,C,3,12.17,160
4,C,4,12.67,160
5,A,1,9.57,160
5,A,2,8.94,160
5,A,3,9.89,160
5,A,4,9.87,160
5,B,1,5.71,160
5,B,2,6.52,160
5,B,3,9.22,160
5,B,4,6.37,160
5,C,1,10.77,160
5,C,2,11.57,160
5,C,3,11.61,160
5,C,4,11.3,160
